region,sku,capacity_unit,pay_go_hour,reservation_hour
UK West,F256,256,53.76,31.97
UK West,F512,512,107.52,63.94
UK West,F1024,1024,215.04,127.88
UK West,F2048,2048,430.08,255.77
West Europe,F2,2,0.44,0.26
West Europe,F4,4,0.88,0.52
West Europe,F8,8,1.76,1.05
West Europe,F16,16,3.52,2.09
West Europe,F32,32,7.04,4.19
West Europe,F64,64,14.08,8.37
West Europe,FT1,64,14.08,8.37
West Europe,F128,128,28.16,16.75
West Europe,F256,256,56.32,33.49
West Europe,F512,512,112.64,66.98
West Europe,F1024,1024,225.28,133.96
West Europe,F2048,2048,450.56,267.92
West US,F2,2,0.40,0.24
West US,F4,4,0.80,0.48
West US,F8,8,1.60,0.95
West US,F16,16,3.20,1.90
West US,F32,32,6.40,3.81
West US,F64,64,12.80,7.61
West US,FT1,64,12.80,7.61
West US,F128,128,25.60,15.23
West US,F256,256,51.20,30.45
West US,F512,512,102.40,60.90
West US,F1024,1024,204.80,121.81
West US,F2048,2048,409.60,243.61
West US 2,F2,2,0.36,0.22
West US 2,F4,4,0.72,0.43
West US 2,F8,8,1.44,0.86
West US 2,F16,16,2.88,1.71
West US 2,F32,32,5.76,3.43
West US 2,F64,64,11.52,6.85
West US 2,FT1,64,11.52,6.85
West US 2,F128,128,23.04,13.71
West US 2,F256,256,46.08,27.41
West US 2,F512,512,92.16,54.82
West US 2,F1024,1024,184.32,109.65
West US 2,F2048,2048,368.64,219.30
West US 3,F2,2,0.36,0.22
West US 3,F4,4,0.72,0.43
West US 3,F8,8,1.44,0.86
West US 3,F16,16,2.88,1.71
West US 3,F32,32,5.76,3.43
West US 3,F64,64,11.52,6.85
West US 3,FT1,64,11.52,6.85
West US 3,F128,128,23.04,13.71
West US 3,F256,256,46.08,27.41
West US 3,F512,512,92.16,54.82
West US 3,F1024,1024,184.32,109.65
West US 3,F2048,2048,368.64,219.30
